0 4.05227525709448e+01 -9.99009714451860e+00 4.05227525709448e+01 1.00000000000000e+00 -1.77368154084956e-01 -1.65588606996668e-01 8.53984058298414e-01 -1.77368154084956e-01
1 1.13251482267914e+01 -9.92838889295610e+00 1.13251482267914e+01 9.99999999999998e-01 -2.98378786849154e-01 -1.78941483068351e-01 7.89460906372178e-01 -2.98378786849154e-01
2 2.63960203705359e+00 -8.86201304943538e+00 2.63960203705359e+00 9.99999999999997e-01 -4.22127081616077e-01 -5.17334091021830e-02 6.88938138026364e-01 -4.22127081616077e-01
3 5.09430436016449e-01 -7.54025112841784e+00 5.09430436016449e-01 9.99999999999999e-01 -5.65295108139813e-01 1.74948549303451e-01 5.48616567611831e-01 -5.65295108139813e-01
4 -2.69112693248534e-01 -6.05674721648156e+00 -2.69112693248534e-01 1.00000000000000e+00 -6.55443742447882e-01 3.66241526849893e-01 3.81433130739080e-01 -6.55443742447882e-01
5 -7.53339689374471e-01 -4.64437900382674e+00 -7.53339689374471e-01 9.99999999999998e-01 -6.14782277947604e-01 4.11286299127162e-01 2.26288613113298e-01 -6.14782277947604e-01
6 -1.09976229238975e+00 -3.52753592878739e+00 -1.09976229238975e+00 1.00000000000000e+00 -4.50607156619716e-01 2.90168322347246e-01 1.16087974018426e-01 -4.50607156619716e-01
7 -1.34354466110961e+00 -2.72529682920037e+00 -1.34354466110961e+00 1.00000000000000e+00 -2.51684786905003e-01 6.25687563951662e-02 5.32708863200089e-02 -2.51684786905003e-01
8 -1.52144042609967e+00 -2.13344961082179e+00 -1.52144042609967e+00 1.00000000000000e+00 -1.04907553081209e-01 -1.93450056251406e-01 2.25432681697277e-02 -1.04907553081209e-01
9 -1.66329547801564e+00 -1.65782951283084e+00 -1.66329547801564e+00 1.00000000000000e+00 -4.66384226345904e-02 -4.12897885038292e-01 8.96327954671393e-03 -4.66384226345904e-02
10 -1.78458903464542e+00 -1.25418385679984e+00 -1.78458903464542e+00 9.99999999999998e-01 -6.46188674413844e-02 -5.52769690297160e-01 3.38250850532251e-03 -6.46188674413844e-02
11 -1.88986474084464e+00 -9.13410001859107e-01 -1.88986474084464e+00 1.00000000000000e+00 -1.21020629097653e-01 -5.99144916286489e-01 1.22005423842505e-03 -1.21020629097653e-01
12 -1.97874429244414e+00 -6.38419010731869e-01 -1.97874429244414e+00 1.00000000000000e+00 -1.77541820266018e-01 -5.67273404657610e-01 4.23640335692250e-04 -1.77541820266018e-01
13 -2.05038960672615e+00 -4.29444299880622e-01 -2.05038960672615e+00 1.00000000000000e+00 -2.11152985307804e-01 -4.89034835177361e-01 1.42756750914204e-04 -2.11152985307804e-01
14 -2.10543157075167e+00 -2.79773460842824e-01 -2.10543157075167e+00 9.99999999999999e-01 -2.16612622187578e-01 -3.95847013977553e-01 4.70725219645224e-05 -2.16612622187578e-01
15 -2.14599138181818e+00 -1.77896435194280e-01 -2.14599138181818e+00 1.00000000000000e+00 -2.00210726923650e-01 -3.08307009690837e-01 1.53019405658966e-05 -2.00210726923650e-01
16 -2.17492447997676e+00 -1.11258131039133e-01 -2.17492447997676e+00 1.00000000000000e+00 -1.71915536110763e-01 -2.35314638308939e-01 4.93331455771838e-06 -1.71915536110763e-01
17 -2.19509046592257e+00 -6.88986937112799e-02 -2.19509046592257e+00 1.00000000000000e+00 -1.40259560299827e-01 -1.78170926952110e-01 1.58438360329664e-06 -1.40259560299827e-01
18 -2.20893474270504e+00 -4.24690444465710e-02 -2.20893474270504e+00 1.00000000000000e+00 -1.10570417445659e-01 -1.34833390808867e-01 5.08426301272671e-07 -1.10570417445659e-01
19 -2.21835569346094e+00 -2.61504935416779e-02 -2.21835569346094e+00 1.00000000000000e+00 -8.52822822193490e-02 -1.02448491398301e-01 1.63343713056409e-07 -8.52822822193490e-02
20 -2.22473934039572e+00 -1.61182315386895e-02 -2.22473934039572e+00 9.99999999999997e-01 -6.49488237231818e-02 -7.83904195827432e-02 5.26045750259043e-08 -6.49488237231818e-02
21 -2.22905967932642e+00 -9.95074402496571e-03 -2.22905967932642e+00 9.99999999999998e-01 -4.91681437253981e-02 -6.05341412327190e-02 1.69948343925068e-08 -4.91681437253981e-02
22 -2.23198571345856e+00 -6.14979848176309e-03 -2.23198571345856e+00 9.99999999999999e-01 -3.71815526507718e-02 -4.72477773555055e-02 5.51023470120989e-09 -3.71815526507718e-02
23 -2.23397105351923e+00 -3.79980429343179e-03 -2.23397105351923e+00 9.99999999999999e-01 -2.81871538394279e-02 -3.73099103848532e-02 1.79342682862833e-09 -2.81871538394279e-02
24 -2.23532126442263e+00 -2.34337664435481e-03 -2.23532126442263e+00 1.00000000000000e+00 -2.14753208303973e-02 -2.98195450052235e-02 5.86010154237483e-10 -2.14753208303973e-02
25 -2.23624174712083e+00 -1.44019205375672e-03 -2.23624174712083e+00 1.00000000000000e+00 -1.64703493823860e-02 -2.41182484077994e-02 1.92242921617752e-10 -1.64703493823860e-02
26 -2.23687069685805e+00 -8.80959358846753e-04 -2.23687069685805e+00 9.99999999999999e-01 -1.27280734461313e-02 -1.97281467762946e-02 6.33165323637913e-11 -1.27280734461313e-02
27 -2.23730133832320e+00 -5.35913716888279e-04 -2.23730133832320e+00 1.00000000000000e+00 -9.91597384638782e-03 -1.63041800794927e-02 2.09360167605372e-11 -9.91597384638782e-03
28 -2.23759676410409e+00 -3.24090439159811e-04 -2.23759676410409e+00 1.00000000000000e+00 -7.78923988864056e-03 -1.35979270448641e-02 6.94970833140542e-12 -7.78923988864056e-03
29 -2.23779980546828e+00 -1.94828885656277e-04 -2.23779980546828e+00 1.00000000000000e+00 -6.16896733337966e-03 -1.14305774356142e-02 2.31590928693357e-12 -6.16896733337966e-03
30 -2.23793961348904e+00 -1.16455757924735e-04 -2.23793961348904e+00 1.00000000000000e+00 -4.92462024827255e-03 -9.67304590559406e-03 7.74733121997426e-13 -4.92462024827255e-03
31 -2.23803606875389e+00 -6.92444578982203e-05 -2.23803606875389e+00 9.99999999999998e-01 -3.96081657173651e-03 -8.23156339885460e-03 2.60174650424270e-13 -3.96081657173651e-03
32 -2.23810275194030e+00 -4.09815502383257e-05 -2.23810275194030e+00 1.00000000000000e+00 -3.20767935442249e-03 -7.03737973415419e-03 8.77189463132660e-14 -3.20767935442249e-03
33 -2.23814895377744e+00 -2.41591652629467e-05 -2.23814895377744e+00 9.99999999999999e-01 -2.61386274307464e-03 -6.03948471026233e-03 2.96977270660693e-14 -2.61386274307464e-03
34 -2.23818103931892e+00 -1.41974329617673e-05 -2.23818103931892e+00 1.00000000000000e+00 -2.14150748462775e-03 -5.19950185075209e-03 1.01005345147352e-14 -2.14150748462775e-03
35 -2.23820337587602e+00 -8.32411737925780e-06 -2.23820337587602e+00 1.00000000000000e+00 -1.76257857568522e-03 -4.48812074734855e-03 3.45424385854687e-15 -1.76257857568522e-03
36 -2.23821896502850e+00 -4.87355934272955e-06 -2.23821896502850e+00 1.00000000000000e+00 -1.45620048962321e-03 -3.88260586467930e-03 1.19000533839114e-15 -1.45620048962321e-03
37 -2.23822987351087e+00 -2.85180339033618e-06 -2.23822987351087e+00 1.00000000000000e+00 -1.20671923510545e-03 -3.36505229241817e-03 4.14480229308826e-16 -1.20671923510545e-03
38 -2.23823752723698e+00 -1.66933988281413e-06 -2.23823752723698e+00 1.00000000000000e+00 -1.00229647195040e-03 -2.92115729584809e-03 1.46960967779426e-16 -1.00229647195040e-03
39 -2.23824291212639e+00 -9.78374367972668e-07 -2.23824291212639e+00 1.00000000000000e+00 -8.33892637387891e-04 -2.53934741619700e-03 5.37033543213406e-17 -8.33892637387891e-04
40 -2.23824671143460e+00 -5.74613976317929e-07 -2.23824671143460e+00 9.99999999999997e-01 -6.94532984964776e-04 -2.21015094768410e-03 2.06353851785596e-17 -6.94532984964776e-04
41 -2.23824939979332e+00 -3.38471225123861e-07 -2.23824939979332e+00 9.99999999999999e-01 -5.78777952260574e-04 -1.92574046306458e-03 8.56794592446720e-18 -5.78777952260574e-04
42 -2.23825130771675e+00 -2.00118791384708e-07 -2.23825130771675e+00 9.99999999999999e-01 -4.82340153643609e-04 -1.67959403321322e-03 3.94782273022295e-18 -4.82340153643609e-04
