 1.00000000000000e-01 -2.23825492354557e+00 -5.19494071483526e-18 1.00000000000000e+00 6.98071738398157e-07  -1.52844720282553e-06  0.00000000000000e+00 9.99999388596029e-01
  2.00000000000000e-01 -2.23825370223065e+00 3.66482179182160e-17 1.00000000000000e+00 7.05983444481203e-07  -1.51454115215401e-06  9.12229170854965e-08 9.99998229488219e-01
  3.00000000000000e-01 -2.23825321466062e+00 -4.78793939177389e-17 1.00000000000000e+00 7.75936404086111e-07  -1.43460860919961e-06  7.20963895982832e-07 9.99997186721019e-01
  4.00000000000000e-01 -2.23825303510522e+00 -2.05411057074021e-16 1.00000000000000e+00 1.01075029011389e-06  -1.18584687194297e-06  2.38412361765447e-06 9.99996351129259e-01
  5.00000000000000e-01 -2.23825295400960e+00 6.53066398761105e-17 9.99999999999999e-01 1.55330226789229e-06  -6.25402987561949e-07  5.49058653919452e-06 9.99995656213596e-01
  6.00000000000000e-01 -2.23825290014030e+00 -4.08895638495239e-17 9.99999999999999e-01 2.57359225396465e-06  4.16691459726809e-07  1.03281670511717e-05 9.99995042194939e-01
  7.00000000000000e-01 -2.23825285121671e+00 -5.15743069817276e-18 9.99999999999999e-01 4.25260995747718e-06  2.12138742395431e-06  1.70318463531537e-05 9.99994473435746e-01
  8.00000000000000e-01 -2.23825280112287e+00 9.06309896510153e-17 9.99999999999998e-01 6.76389277214741e-06  4.66217635997141e-06  2.55609830459051e-05 9.99993930942218e-01
  9.00000000000000e-01 -2.23825274897267e+00 1.94952502005353e-17 9.99999999999998e-01 1.02538086009990e-05  8.18537314623897e-06  3.56858454983715e-05 9.99993405327891e-01
  1.00000000000000e+00 -2.23825269543756e+00 -7.85732875679288e-17 9.99999999999997e-01 1.48216967079309e-05  1.27902570505724e-05  4.69844193626969e-05 9.99992892512814e-01
  1.10000000000000e+00 -2.23825264151036e+00 1.18439818717707e-16 9.99999999999997e-01 2.05010480046626e-05  1.85102521296290e-05  5.88500039502169e-05 9.99992391296213e-01
  1.20000000000000e+00 -2.23825258811062e+00 3.51048157545223e-17 9.99999999999996e-01 2.72429010539431e-05  2.52963233818046e-05  7.05096430961591e-05 9.99991902003989e-01
  1.30000000000000e+00 -2.23825253598378e+00 -1.13383309168079e-17 9.99999999999996e-01 3.49025707690535e-05  3.30037055831307e-05  8.10529573876813e-05 9.99991425731931e-01
  1.40000000000000e+00 -2.23825248570096e+00 -4.49589923440157e-18 9.99999999999996e-01 4.32307147924451e-05  4.13829698347778e-05  8.94704735526052e-05 9.99990963920999e-01
  1.50000000000000e+00 -2.23825243768949e+00 -6.72773981563509e-17 9.99999999999995e-01 5.18695812838571e-05  5.00762715129530e-05  9.47001016907586e-05 9.99990518119448e-01
  1.60000000000000e+00 -2.23825239226779e+00 -2.37981497377300e-16 9.99999999999995e-01 6.03550768886334e-05  5.86194184192716e-05  9.56800094570099e-05 9.99990089851519e-01
  1.70000000000000e+00 -2.23825234967583e+00 -8.77182208513042e-17 9.99999999999995e-01 6.81250522366291e-05  6.64501564735224e-05  9.14058005213294e-05 9.99989680546065e-01
  1.80000000000000e+00 -2.23825231009657e+00 -9.91900082177028e-17 9.99999999999995e-01 7.45339333397912e-05  7.29228013090459e-05  8.09896369590539e-05 9.99989291496995e-01
  1.90000000000000e+00 -2.23825227366758e+00 2.69485787696457e-17 9.99999999999995e-01 7.88735408311065e-05  7.73290577320438e-05  6.37187635324319e-05 9.99988923838704e-01
  2.00000000000000e+00 -2.23825224048158e+00 -3.17400148761007e-17 9.99999999999994e-01 8.03996461740361e-05  7.89245761373015e-05  3.91108050743640e-05 9.99988578525351e-01
  2.10000000000000e+00 -2.23825221057698e+00 -7.40422406155153e-18 9.99999999999993e-01 7.83635263501648e-05  7.69605074399117e-05  6.96322207331930e-06 9.99988256308411e-01
  2.20000000000000e+00 -2.23825218392027e+00 -6.33227075333764e-17 9.99999999999993e-01 7.20475078129109e-05  7.07190472635783e-05  -3.26055737373675e-05 9.99987957710185e-01
  2.30000000000000e+00 -2.23825216038313e+00 -1.12683730510642e-16 9.99999999999994e-01 6.08032480532319e-05  5.95517177499909e-05  -7.91257239393831e-05 9.99987682994530e-01
